url,title_old,title_new,title_len_old,title_len_new,desc_old,desc_new,desc_len_old,desc_len_new
/cost-of-living/grocery-costs-italy-by-city/,Grocery Costs in Italy by City: What Americans Actually Spend in 2025 — Italopedia,Grocery Costs in Italy by City (2025) — Italopedia,82,50,"Real grocery prices across Italy's major cities — supermarket costs, market pric...","Real grocery prices across Italy's major cities — supermarket costs, market pric...",168,156
/cost-of-living/healthcare-costs-italy-vs-usa/,Healthcare Costs in Italy vs USA: What Americans Actually Pay in 2025 — Italopedia,Healthcare Costs in Italy vs USA (2025) — Italopedia,82,52,Real comparison of healthcare costs for Americans in Italy vs the United States ...,Real comparison of healthcare costs for Americans in Italy vs the United States ...,198,164
/cost-of-living/,Cost of Living in Italy — Real 2025 Figures for Americans — Italopedia,Cost of Living in Italy for Americans (2025) — Italopedia,70,57,"Real monthly budgets for retirees, families and remote workers in eight Italian ...","Real monthly budgets for retirees, families and remote workers in eight Italian ...",248,163
/cost-of-living/italy-rent-prices-city-comparison/,Italy Rent Prices by City: Complete 2025 Comparison for Americans — Italopedia,Italy Rent Prices by City: Complete 2025 Comparison — Italopedia,78,64,"Current rental prices in every major Italian city — Milan, Rome, Florence, Bolog...","Current rental prices in every major Italian city — Milan, Rome, Florence, Bolog...",189,164
/cost-of-living/living-italy-2500-month/,"Living in Italy on $2,500/Month: Is It Really Possible in 2025? — Italopedia","Living in Italy on $2,500/Month — Italopedia",76,44,"Honest, city-by-city breakdown of whether $2,500/month is enough to live comfort...","Honest, city-by-city breakdown of whether $2,500/month is enough to live comfort...",180,160
/cost-of-living/retire-italy-2000-month-budget/,"Living in Italy on $2,500/Month: Is It Really Possible in 2025? — Italopedia","Living in Italy on $2,500/Month — Italopedia",76,44,"Honest, city-by-city breakdown of whether $2,500/month is enough to live comfort...","Honest, city-by-city breakdown of whether $2,500/month is enough to live comfort...",180,160
/healthcare/best-health-insurance-americans-italy/,Best Health Insurance for Americans in Italy: The Complete 2025 Guide — Italopedia,Best Health Insurance for Americans in Italy — Italopedia,82,57,The top international health insurance plans for Americans living in Italy — rea...,The top international health insurance plans for Americans living in Italy — rea...,195,163
/healthcare/best-private-health-insurance-italy-americans-2025/,Best Private Health Insurance for Americans in Italy: 2025 Comparison — Italopedia,Best Private Health Insurance for Americans in Italy — Italopedia,82,65,"Cigna Global, AXA International, Allianz Care, Bupa Global, IMG Global — compare...","Cigna Global, AXA International, Allianz Care, Bupa Global, IMG Global — compare...",226,159
/healthcare/cigna-vs-axa-vs-allianz-italy/,Cigna vs AXA vs Allianz: Which International Health Insurance Is Best for Italy? (2025) — Italopedia,Cigna vs AXA vs Allianz (2025) — Italopedia,100,43,"Head-to-head comparison of Cigna Global, AXA International, and Allianz Care for...","Head-to-head comparison of Cigna Global, AXA International, and Allianz Care for...",208,153
/healthcare/english-speaking-doctors-italy/,Finding English-Speaking Doctors in Italy: The Complete Guide for Americans (2025) — Italopedia,Finding English-Speaking Doctors in Italy (2025) — Italopedia,95,61,"How to find English-speaking GPs, specialists, dentists, and hospitals in Italy ...","How to find English-speaking GPs, specialists, dentists, and hospitals in Italy ...",204,161
/healthcare/enroll-italian-ssn/,How to Enroll in Italy's National Health Service (SSN): Step-by-Step Guide for Americans (2025) — Italopedia,How to Enroll in Italy's SSN (2025) — Italopedia,108,48,"Complete guide to enrolling in Italy's SSN as an American expat — eligibility, c...","Complete guide to enrolling in Italy's SSN as an American expat — eligibility, c...",175,162
/healthcare/,"Healthcare in Italy for Americans — SSN, Private Insurance, English Doctors — Italopedia",Healthcare in Italy for Americans — Italopedia,88,46,Italy's SSN is among the best public health systems in the world — and it is lar...,Italy's SSN is among the best public health systems in the world — and it is lar...,242,164
/healthcare/tessera-sanitaria-italy-health-card-americans/,Tessera Sanitaria: How to Get Italy's Health Card as an American (2025) — Italopedia,Tessera Sanitaria: Italy's Health Card (2025) — Italopedia,84,58,The tessera sanitaria is Italy's combined health card and codice fiscale card. A...,The tessera sanitaria is Italy's combined health card and codice fiscale card. A...,194,159
/,Italopedia — Move to Italy. Do it right. Complete guides for Americans.,Italopedia — Move to Italy: The Complete Guide for Americans,71,60,The most complete English-language reference for Americans moving to Italy. 62 v...,The most complete English-language reference for Americans moving to Italy. 62 v...,199,163
/newsletter/,The Italopedia Newsletter — Free Weekly Italy Move Digest — Italopedia,The Italopedia Newsletter — Italopedia,70,38,"Join 4,200+ Americans planning their move to Italy. Weekly digest of new guides,...","Join 4,200+ Americans planning their move to Italy. Weekly digest of new guides,...",161,
/property/1-euro-house-italy/,"Italy's €1 House Programs: What's Real, What's Marketing, and How to Actually Do It (2025) — Italopedia",Italy's €1 House Programs (2025) — Italopedia,103,45,"The honest, complete guide to Italy's €1 house programs — which municipalities a...","The honest, complete guide to Italy's €1 house programs — which municipalities a...",182,161
/property/best-cities-invest-property-italy/,Best Cities to Invest in Italian Property: An American's Guide to the Market (2025) — Italopedia,Best Cities to Invest in Italian Property (2025) — Italopedia,96,61,"Where to buy property in Italy for the best investment return — price trends, re...","Where to buy property in Italy for the best investment return — price trends, re...",189,163
/property/how-to-buy-property-italy-american-guide/,How to Buy Property in Italy as an American: Complete 2025 Guide — Italopedia,How to Buy Property in Italy as an American — Italopedia,77,56,Americans can buy Italian property without residency. You need a codice fiscale ...,Americans can buy Italian property without residency. You need a codice fiscale ...,215,153
/property/,Buying Property in Italy as an American — Complete Guide — Italopedia,Buying Property in Italy as an American — Italopedia,69,52,"From the compromesso to the rogito, from notary fees to the IMU, from the €1 hom...","From the compromesso to the rogito, from notary fees to the IMU, from the €1 hom...",248,159
/property/italian-notary-process/,The Italian Notary Process: How Property Buying Works in Italy for Americans (2025) — Italopedia,The Italian Notary Process (2025) — Italopedia,96,46,Complete guide to the Italian notary (notaio) process when buying property — wha...,Complete guide to the Italian notary (notaio) process when buying property — wha...,196,162
/property/mortgages-non-residents-italy/,Italian Mortgages for Non-Residents: Can Americans Get a Mortgage in Italy? (2025) — Italopedia,Italian Mortgages for Non-Residents (2025) — Italopedia,95,55,Complete guide to getting a mortgage (mutuo) in Italy as an American non-residen...,Complete guide to getting a mortgage (mutuo) in Italy as an American non-residen...,197,159
/property/renting-apartment-italy-expat-guide/,Renting an Apartment in Italy: The American Expat's Complete Guide (2025) — Italopedia,Renting an Apartment in Italy (2025) — Italopedia,86,49,"Everything Americans need to know about renting in Italy — lease types (4+4, 3+2...","Everything Americans need to know about renting in Italy — lease types (4+4, 3+2...",199,161
/regions/best-cities-american-expats-italy/,Best Cities for American Expats in Italy: The Honest 2025 Guide — Italopedia,Best Cities for American Expats in Italy — Italopedia,76,53,"The real comparison of Italy's best cities for Americans — ranked by cost, Engli...","The real comparison of Italy's best cities for Americans — ranked by cost, Engli...",182,162
/regions/best-small-towns-italy-retirees/,Best Small Towns in Italy for American Retirees: The 2025 Guide — Italopedia,Best Small Towns in Italy for American Retirees — Italopedia,76,60,"The best Italian small towns for Americans retiring in Italy — beautiful, afford...","The best Italian small towns for Americans retiring in Italy — beautiful, afford...",174,159
/regions/florence-vs-rome-vs-bologna/,Florence vs Rome vs Bologna: Which Italian City Is Best for American Expats? (2025) — Italopedia,Florence vs Rome vs Bologna (2025) — Italopedia,96,47,"Honest head-to-head comparison of Florence, Rome, and Bologna for Americans movi...","Honest head-to-head comparison of Florence, Rome, and Bologna for Americans movi...",202,163
/regions/,Italian Regions for American Expats — Where to Actually Live — Italopedia,Italian Regions for American Expats — Italopedia,73,48,"Forty-two profiles of Italian cities, towns and regions written for American exp...","Forty-two profiles of Italian cities, towns and regions written for American exp...",253,161
/regions/living-florence-american-expat/,Living in Florence as an American Expat: Complete Guide (2025) — Italopedia,Living in Florence as an American Expat (2025) — Italopedia,75,59,The complete guide to living in Florence as an American — best neighborhoods (Ol...,The complete guide to living in Florence as an American — best neighborhoods (Ol...,199,159
/regions/living-in-tuscany-american-expat/,Living in Tuscany as an American: The Real Expat Guide (2025) — Italopedia,Living in Tuscany as an American (2025) — Italopedia,74,52,"The complete, honest guide to living in Tuscany as an American — best cities and...","The complete, honest guide to living in Tuscany as an American — best cities and...",176,160
/regions/living-rome-american-expat/,Living in Rome as an American: The Complete Expat Guide (2025) — Italopedia,Living in Rome as an American (2025) — Italopedia,75,49,"Everything Americans need to know about living in Rome — best neighborhoods, rea...","Everything Americans need to know about living in Rome — best neighborhoods, rea...",189,161
/regions/quietest-regions-italy/,Italy's Quietest Regions: Where to Go When You Want Peaceful Italian Life (2025) — Italopedia,Italy's Quietest Regions (2025) — Italopedia,93,44,"The most peaceful, uncrowded regions of Italy for American expats — where to fin...","The most peaceful, uncrowded regions of Italy for American expats — where to fin...",174,162
/regions/sicily-american-expats-guide/,Sicily for American Expats: The Complete Living Guide (2025) — Italopedia,Sicily for American Expats (2025) — Italopedia,73,46,Everything Americans need to know about living in Sicily — the best towns (Paler...,Everything Americans need to know about living in Sicily — the best towns (Paler...,191,157
/residency/declaring-presence-8-day-rule-italy-americans/,Italy's 8-Day Rule: How to Declare Your Presence as an American (2025) — Italopedia,Italy's 8-Day Rule (2025) — Italopedia,83,38,Complete guide to Italy's 8-day declaration of presence requirement for American...,Complete guide to Italy's 8-day declaration of presence requirement for American...,192,164
/residency/getting-sim-card-italy-americans-guide/,Getting a SIM Card in Italy: The Complete Guide for Americans (2025) — Italopedia,Getting a SIM Card in Italy (2025) — Italopedia,81,47,"How to get an Italian SIM card as an American — which carriers are best, what do...","How to get an Italian SIM card as an American — which carriers are best, what do...",174,160
/residency/how-to-get-codice-fiscale-italy-americans/,How to Get a Codice Fiscale in Italy as an American: Complete 2025 Guide — Italopedia,How to Get a Codice Fiscale in Italy as an American — Italopedia,85,64,Step-by-step guide for Americans on how to get an Italian codice fiscale — at th...,Step-by-step guide for Americans on how to get an Italian codice fiscale — at th...,216,158
/residency/how-to-register-anagrafe-italy-americans/,How to Register at the Anagrafe in Italy: Complete Guide for Americans — Italopedia,How to Register at the Anagrafe in Italy — Italopedia,83,53,Step-by-step guide for Americans on how to register at the Italian Anagrafe (mun...,Step-by-step guide for Americans on how to register at the Italian Anagrafe (mun...,184,161
/residency/,"Italian Residency for Americans — Permesso, Anagrafe, Codice Fiscale — Italopedia",Italian Residency for Americans — Italopedia,81,44,"From the permesso di soggiorno to the anagrafe registration, codice fiscale, tes...","From the permesso di soggiorno to the anagrafe registration, codice fiscale, tes...",247,163
/residency/italian-drivers-license-americans/,Italian Driver's License for Americans: Converting Your U.S. License in Italy (2025) — Italopedia,Italian Driver's License for Americans (2025) — Italopedia,97,58,Complete guide to getting an Italian driver's license as an American — whether y...,Complete guide to getting an Italian driver's license as an American — whether y...,181,163
/residency/open-italian-bank-account/,Opening an Italian Bank Account: The Complete Guide for Americans (2025) — Italopedia,Opening an Italian Bank Account (2025) — Italopedia,85,51,How to open a bank account in Italy as an American — which banks accept U.S. cit...,How to open a bank account in Italy as an American — which banks accept U.S. cit...,178,159
/residency/permesso-di-soggiorno/,Permesso di Soggiorno: Complete Step-by-Step Guide for Americans — Italopedia,Permesso di Soggiorno: Complete Step-by-Step Guide — Italopedia,77,63,The Italian residence permit — the document that turns your long-stay visa into ...,The Italian residence permit — the document that turns your long-stay visa into ...,277,158
/residency/permesso-di-soggiorno-renewal-americans-guide/,"Permesso di Soggiorno Renewal for Americans: Timing, Documents, Strategy (2025) — Italopedia",Permesso di Soggiorno Renewal for Americans (2025) — Italopedia,92,63,Complete guide to renewing your Italian permesso di soggiorno as an American — w...,Complete guide to renewing your Italian permesso di soggiorno as an American — w...,198,164
/residency/permesso-lungo-periodo-permanent-residency-italy/,Permesso di Lungo Periodo: Italy's Permanent Residency After 5 Years (2025) — Italopedia,Permesso di Lungo Periodo (2025) — Italopedia,88,45,"After 5 years of legal residence in Italy, Americans can apply for the EU long-t...","After 5 years of legal residence in Italy, Americans can apply for the EU long-t...",217,159
/residency/register-foreign-car-italy/,Registering a Foreign Car in Italy: What Americans Need to Know (2025) — Italopedia,Registering a Foreign Car in Italy (2025) — Italopedia,83,54,Complete guide to importing and registering a U.S. or foreign car in Italy — the...,Complete guide to importing and registering a U.S. or foreign car in Italy — the...,159,
/residency/spid-italy-foreigners-americans-guide/,SPID for Foreigners in Italy: How Americans Get Italy's Digital Identity (2025) — Italopedia,SPID for Foreigners in Italy (2025) — Italopedia,92,48,"SPID is required to access Italian government websites — Agenzia delle Entrate, ...","SPID is required to access Italian government websites — Agenzia delle Entrate, ...",197,161
/residency/tessera-sanitaria-expats/,"Tessera Sanitaria in Italy: What It Is, How to Get One as an American Expat (2025) — Italopedia",Tessera Sanitaria in Italy (2025) — Italopedia,95,46,Complete guide to the Italian Tessera Sanitaria (health card) for American expat...,Complete guide to the Italian Tessera Sanitaria (health card) for American expat...,197,163
/shop/,Italopedia Shop — Premium Guides & Templates — Italopedia,Italopedia Shop — Premium Italy Guides for Americans — Italopedia,57,65,Comprehensive PDF guides and templates for Americans moving to Italy. Curated by...,Comprehensive PDF guides and templates for Americans moving to Italy. Curated by...,97,
/taxes/fbar-fatca-americans-italy-guide/,FBAR and FATCA for Americans Living in Italy: What You Must File (2025) — Italopedia,FBAR and FATCA for Americans Living in Italy (2025) — Italopedia,84,64,Americans in Italy must file FBAR and potentially FATCA Form 8938 every year. He...,Americans in Italy must file FBAR and potentially FATCA Form 8938 every year. He...,191,163
/taxes/flat-tax-regime/,"Italy's Flat Tax Regime: €100,000 Annual Cap for New Residents — Italopedia","Italy's €100,000 Flat Tax Regime for New Residents — Italopedia",75,63,"Italy lets new residents pay a flat €100,000 on all foreign-source income, every...","Italy lets new residents pay a flat €100,000 on all foreign-source income, every...",266,162
/taxes/,"Italy Taxes for Americans — Flat Tax, IRPEF, US-Italy Treaty — Italopedia",Italy Taxes for Americans — Italopedia,73,38,"IRPEF brackets, the €100,000 flat tax for new residents, the southern 7% pension...","IRPEF brackets, the €100,000 flat tax for new residents, the southern 7% pension...",236,158
/taxes/irpef-tax-brackets-italy-2025-americans/,IRPEF Tax Brackets in Italy: What Americans Pay in 2025 — Italopedia,IRPEF Tax Brackets in Italy — Italopedia,68,40,Complete guide to Italy's IRPEF income tax brackets for American expats — curren...,Complete guide to Italy's IRPEF income tax brackets for American expats — curren...,177,162
/taxes/partita-iva-italy-foreigners/,Partita IVA Italy for Americans: How to Get a VAT Number as a Foreigner (2025) — Italopedia,Partita IVA Italy for Americans (2025) — Italopedia,91,51,Complete guide to opening a Partita IVA in Italy as an American expat — eligibil...,Complete guide to opening a Partita IVA in Italy as an American expat — eligibil...,191,163
/taxes/southern-italy-7-percent-flat-tax-foreign-pensioners/,Southern Italy's 7% Flat Tax for Foreign Pensioners: The Complete 2025 Guide — Italopedia,Southern Italy's 7% Flat Tax for Foreign Pensioners — Italopedia,89,64,American retirees moving to qualifying southern Italian towns can pay a flat 7% ...,American retirees moving to qualifying southern Italian towns can pay a flat 7% ...,199,163
/taxes/us-italy-social-security-totalization-agreement/,US-Italy Social Security Totalization Agreement: What Americans Need to Know — Italopedia,US-Italy Social Security Totalization Agreement — Italopedia,89,60,"How the US-Italy Social Security Totalization Agreement works, who benefits from...","How the US-Italy Social Security Totalization Agreement works, who benefits from...",196,163
/taxes/us-italy-tax-treaty-double-taxation/,US-Italy Tax Treaty: How Double Taxation Works for American Expats (2025) — Italopedia,US-Italy Tax Treaty (2025) — Italopedia,86,39,Plain-English guide to the US-Italy Double Taxation Treaty — what income it cove...,Plain-English guide to the US-Italy Double Taxation Treaty — what income it cove...,181,161
/visas/apostille-document-translation-italian-visa/,Apostille and Document Translation for Italian Visas: Complete 2025 Guide — Italopedia,Apostille and Document Translation for Italian Visas — Italopedia,86,65,"What an apostille is, which US documents need one for Italy, how to get it from ...","What an apostille is, which US documents need one for Italy, how to get it from ...",194,158
/visas/digital-nomad-visa/,Italy Digital Nomad Visa: Requirements & Application (2025) — Italopedia,Italy Digital Nomad Visa (2025) — Italopedia,72,44,Italy's long-awaited Digital Nomad Visa finally went live in April 2024. For the...,Italy's long-awaited Digital Nomad Visa finally went live in April 2024. For the...,230,162
/visas/elective-residence-visa/,Elective Residence Visa Italy: The Complete 2025 Guide — Italopedia,Elective Residence Visa Italy (2025) — Italopedia,67,49,Italy's most popular long-stay visa for American retirees and passive-income ear...,Italy's most popular long-stay visa for American retirees and passive-income ear...,259,162
/visas/etias-americans-italy-schengen-guide/,ETIAS for Americans Visiting Italy: What You Need to Know (2025) — Italopedia,ETIAS for Americans Visiting Italy (2025) — Italopedia,77,54,Complete guide to ETIAS — the EU travel authorization system for Americans visit...,Complete guide to ETIAS — the EU travel authorization system for Americans visit...,197,162
/visas/fbi-background-check-italian-visa-americans/,FBI Background Check for Italian Visa: The Complete American Guide (2025) — Italopedia,FBI Background Check for Italian Visa (2025) — Italopedia,86,57,Step-by-step guide to getting an FBI background check for your Italian visa appl...,Step-by-step guide to getting an FBI background check for your Italian visa appl...,199,163
/visas/,Italy Visas for Americans — Complete Reference — Italopedia,,59,,Every visa pathway for Americans planning to live in Italy — from the elective r...,Every visa pathway for Americans planning to live in Italy — from the elective r...,256,162
/visas/italy-investor-visa-golden-visa-americans/,Italy Investor Visa (Golden Visa): €500k Business / €1M Bond — Complete 2025 Guide — Italopedia,Italy Investor Visa (Golden Visa) (2025) — Italopedia,95,53,Italy's Investor Visa grants a 2-year renewable permit to Americans who invest €...,Italy's Investor Visa grants a 2-year renewable permit to Americans who invest €...,194,164
/visas/italy-spouse-visa-americans/,Italy Spouse Visa for Americans: How to Move to Italy with Your Italian Partner (2025) — Italopedia,Italy Spouse Visa for Americans (2025) — Italopedia,99,51,Step-by-step guide for Americans married to Italian citizens — the family reunif...,Step-by-step guide for Americans married to Italian citizens — the family reunif...,164,160
/visas/italy-student-visa/,Italy Student Visa for Americans: How to Study in Italy Long-Term (2025) — Italopedia,Italy Student Visa for Americans (2025) — Italopedia,85,52,Complete guide to the Italian student visa for Americans — university enrollment...,Complete guide to the Italian student visa for Americans — university enrollment...,193,164
/visas/italy-visa-income-requirements-2025-all-types/,Italy Visa Income Requirements 2025: All Visa Types for Americans — Italopedia,Italy Visa Income Requirements 2025: All Visa Types — Italopedia,78,64,Exact income thresholds for every Italian long-stay visa in 2025: Elective Resid...,Exact income thresholds for every Italian long-stay visa in 2025: Elective Resid...,205,156
