priority,url,file,title,title_len,title_issues,desc,desc_len,desc_issues
OK,/citizenship/italian-citizenship-by-marriage/,citizenship/italian-citizenship-by-marriage/index.html,Italian Citizenship by Marriage (2025) — Italopedia,51,,"Everything Americans need to know about acquiring Italian citizenship through marriage — eligibility timeline, language requirements, application process,...",157,
OK,/consult/,consult/index.html,Book a 1:1 Consultation — Italopedia,36,,"A 45-minute video call with Fabrizio Boggio to review your specific Italy-move situation. Walk away with a clear, written action plan.",134,
OK,/cost-of-living/,cost-of-living/index.html,Cost of Living in Italy for Americans (2025) — Italopedia,57,,"Real monthly budgets for retirees, families and remote workers in eight Italian cities. Rent, groceries, healthcare, transport, taxes, the espresso at the bar —...",163,
OK,/cost-of-living/cost-of-living-italy-vs-usa/,cost-of-living/cost-of-living-italy-vs-usa/index.html,Cost of Living: Italy vs USA (2025) — Italopedia,48,,"Honest, data-driven comparison of what life costs in Italy vs. the United States — housing, food, healthcare, transport, and the real financial case for moving...",162,
OK,/cost-of-living/cost-of-living-turin-american-expats-2025/,cost-of-living/cost-of-living-turin-american-expats-2025/index.html,Cost of Living in Turin for American Expats (2025) — Italopedia,63,,"Real cost of living data for Turin (Torino), Italy in 2025 — rent by neighborhood, groceries, dining, transport, and complete monthly budgets for singles and...",160,
OK,/cost-of-living/grocery-costs-italy-by-city/,cost-of-living/grocery-costs-italy-by-city/index.html,Grocery Costs in Italy by City (2025) — Italopedia,50,,"Real grocery prices across Italy's major cities — supermarket costs, market prices, weekly budgets, and how to shop like an Italian to cut your food bill...",156,
OK,/cost-of-living/healthcare-costs-italy-vs-usa/,cost-of-living/healthcare-costs-italy-vs-usa/index.html,Healthcare Costs in Italy vs USA (2025) — Italopedia,52,,"Real comparison of healthcare costs for Americans in Italy vs the United States — SSN enrollment fees, specialist visit costs, prescriptions, hospital stays, and...",164,
OK,/cost-of-living/italy-rent-prices-city-comparison/,cost-of-living/italy-rent-prices-city-comparison/index.html,Italy Rent Prices by City: Complete 2025 Comparison — Italopedia,64,,"Current rental prices in every major Italian city — Milan, Rome, Florence, Bologna, Turin, Naples, Palermo and more. Real data, neighborhood breakdowns, and what...",164,
OK,/cost-of-living/living-italy-2500-month/,cost-of-living/living-italy-2500-month/index.html,"Living in Italy on $2,500/Month (2025) — Italopedia",51,,"Honest, city-by-city breakdown of whether $2,500/month is enough to live comfortably in Italy as an American — complete sample budgets, best cities, and what...",160,
OK,/cost-of-living/retire-italy-2000-month-budget/,cost-of-living/retire-italy-2000-month-budget/index.html,"Living in Italy on $2,500/Month (2025) — Italopedia",51,,"Honest, city-by-city breakdown of whether $2,500/month is enough to live comfortably in Italy as an American — complete sample budgets, best cities, and what...",160,
OK,/disclaimer/,disclaimer/index.html,Editorial Disclaimer — Italopedia,33,,"Italopedia is editorial reference information — not professional advice. Here is exactly what that means, and where you need a professional.",140,
OK,/healthcare/,healthcare/index.html,Healthcare in Italy for Americans — Italopedia,46,,"Italy's SSN is among the best public health systems in the world — and it is largely free, even for foreign residents who pay in. This is how you access it, what...",164,
OK,/healthcare/best-health-insurance-americans-italy/,healthcare/best-health-insurance-americans-italy/index.html,Best Health Insurance for Americans in Italy (2025) — Italopedia,64,,"The top international health insurance plans for Americans living in Italy — real coverage comparisons, costs, what Italian consulates accept, and how to choose...",163,
OK,/healthcare/best-private-health-insurance-italy-americans-2025/,healthcare/best-private-health-insurance-italy-americans-2025/index.html,Best Private Health Insurance in Italy (2025) — Italopedia,58,,"Cigna Global, AXA International, Allianz Care, Bupa Global, IMG Global — compared for Americans moving to Italy. Visa compliance requirements, SSN voluntary...",159,
OK,/healthcare/cigna-vs-axa-vs-allianz-italy/,healthcare/cigna-vs-axa-vs-allianz-italy/index.html,Cigna vs AXA vs Allianz (2025) — Italopedia,43,,"Head-to-head comparison of Cigna Global, AXA International, and Allianz Care for Americans living in Italy — real coverage details, claims experience,...",153,
OK,/healthcare/english-speaking-doctors-italy/,healthcare/english-speaking-doctors-italy/index.html,Finding English-Speaking Doctors in Italy (2025) — Italopedia,61,,"How to find English-speaking GPs, specialists, dentists, and hospitals in Italy — city-by-city resources, what to ask, how the referral system works, and tips...",161,
OK,/healthcare/enroll-italian-ssn/,healthcare/enroll-italian-ssn/index.html,How to Enroll in Italy's SSN (2025) — Italopedia,48,,"Complete guide to enrolling in Italy's SSN as an American expat — eligibility, costs, step-by-step registration process, how to choose a GP, and what's covered...",162,
OK,/healthcare/tessera-sanitaria-italy-health-card-americans/,healthcare/tessera-sanitaria-italy-health-card-americans/index.html,Tessera Sanitaria: Italy's Health Card (2025) — Italopedia,58,,The tessera sanitaria is Italy's combined health card and codice fiscale card. As a registered resident it arrives automatically by mail. Here is everything...,159,
OK,/newsletter/,newsletter/index.html,The Italopedia Newsletter — Italopedia,38,,"Join 4,200+ Americans planning their move to Italy. Weekly digest of new guides, law changes, and practical advice. Free 47-point relocation checklist on signup.",161,
OK,/property/1-euro-house-italy/,property/1-euro-house-italy/index.html,Italy's €1 House Programs (2025) — Italopedia,45,,"The honest, complete guide to Italy's €1 house programs — which municipalities are active, real renovation costs, the legal process, and whether it's actually...",161,
OK,/property/best-cities-invest-property-italy/,property/best-cities-invest-property-italy/index.html,Best Cities to Invest in Italian Property (2025) — Italopedia,61,,"Where to buy property in Italy for the best investment return — price trends, rental yields, appreciation potential, and which cities offer the best opportunity...",163,
OK,/property/how-to-buy-property-italy-american-guide/,property/how-to-buy-property-italy-american-guide/index.html,How to Buy Property in Italy as an American (2025) — Italopedia,63,,"Americans can buy Italian property without residency. You need a codice fiscale and a notaio. Proposta d'acquisto, compromesso, due diligence, rogito,...",153,
OK,/property/italian-notary-process/,property/italian-notary-process/index.html,The Italian Notary Process (2025) — Italopedia,46,,"Complete guide to the Italian notary (notaio) process when buying property — what the notaio does, the full timeline, costs, what to expect at the signing, and...",162,
OK,/property/mortgages-non-residents-italy/,property/mortgages-non-residents-italy/index.html,Italian Mortgages for Non-Residents (2025) — Italopedia,55,,"Complete guide to getting a mortgage (mutuo) in Italy as an American non-resident — which banks lend to foreigners, LTV limits, required documents, interest...",159,
OK,/property/renting-apartment-italy-expat-guide/,property/renting-apartment-italy-expat-guide/index.html,Renting an Apartment in Italy (2025) — Italopedia,49,,"Everything Americans need to know about renting in Italy — lease types (4+4, 3+2, transitorio), deposits, tenant rights, contract registration, red flags, and...",161,
OK,/regions/,regions/index.html,Italian Regions for American Expats — Italopedia,48,,"Forty-two profiles of Italian cities, towns and regions written for American expats — not for tourists. Where the rent is reasonable, where the bureaucracy is...",161,
OK,/regions/best-cities-american-expats-italy/,regions/best-cities-american-expats-italy/index.html,Best Cities for American Expats in Italy (2025) — Italopedia,60,,"The real comparison of Italy's best cities for Americans — ranked by cost, English accessibility, expat community, healthcare, culture, and quality of life. No...",162,
OK,/regions/best-small-towns-italy-retirees/,regions/best-small-towns-italy-retirees/index.html,Best Small Towns in Italy for Retirees (2025) — Italopedia,58,,"The best Italian small towns for Americans retiring in Italy — beautiful, affordable, livable, with real infrastructure. Honest pros and cons for each, with...",159,
OK,/regions/florence-vs-rome-vs-bologna/,regions/florence-vs-rome-vs-bologna/index.html,Florence vs Rome vs Bologna (2025) — Italopedia,47,,"Honest head-to-head comparison of Florence, Rome, and Bologna for Americans moving to Italy — cost, lifestyle, English accessibility, healthcare, community, and...",163,
OK,/regions/quietest-regions-italy/,regions/quietest-regions-italy/index.html,Italy's Quietest Regions (2025) — Italopedia,44,,"The most peaceful, uncrowded regions of Italy for American expats — where to find genuine tranquility, stunning landscapes, and affordable living away from the...",162,
OK,/residency/,residency/index.html,Italian Residency for Americans — Italopedia,44,,"From the permesso di soggiorno to the anagrafe registration, codice fiscale, tessera sanitaria, and Italian bank account — the bureaucratic path from arrival to...",163,
OK,/residency/declaring-presence-8-day-rule-italy-americans/,residency/declaring-presence-8-day-rule-italy-americans/index.html,Italy's 8-Day Rule (2025) — Italopedia,38,,"Complete guide to Italy's 8-day declaration of presence requirement for Americans — who must comply, how to do it, what happens if you don't, and how it connects...",164,
OK,/residency/getting-sim-card-italy-americans-guide/,residency/getting-sim-card-italy-americans-guide/index.html,Getting a SIM Card in Italy (2025) — Italopedia,47,,"How to get an Italian SIM card as an American — which carriers are best, what documents you need, costs, eSIM options, and how to keep your U.S. number while...",160,
OK,/residency/how-to-get-codice-fiscale-italy-americans/,residency/how-to-get-codice-fiscale-italy-americans/index.html,How to Get a Codice Fiscale in Italy (2025) — Italopedia,56,,"Step-by-step guide for Americans on how to get an Italian codice fiscale — at the consulate in the US, at Agenzia delle Entrate in Italy, or by mail. Free,...",158,
OK,/residency/how-to-register-anagrafe-italy-americans/,residency/how-to-register-anagrafe-italy-americans/index.html,How to Register at the Anagrafe in Italy (2025) — Italopedia,60,,"Step-by-step guide for Americans on how to register at the Italian Anagrafe (municipal registry office) — what to bring, what to expect, and how to handle the...",161,
OK,/residency/italian-drivers-license-americans/,residency/italian-drivers-license-americans/index.html,Italian Driver's License for Americans (2025) — Italopedia,58,,"Complete guide to getting an Italian driver's license as an American — whether you need one, how to convert your U.S. license, the Italian driving exam process,...",163,
OK,/residency/open-italian-bank-account/,residency/open-italian-bank-account/index.html,Opening an Italian Bank Account (2025) — Italopedia,51,,"How to open a bank account in Italy as an American — which banks accept U.S. citizens, required documents, FATCA implications, best accounts for expats, and...",159,
OK,/residency/permesso-di-soggiorno-renewal-americans-guide/,residency/permesso-di-soggiorno-renewal-americans-guide/index.html,Permesso di Soggiorno Renewal for Americans (2025) — Italopedia,63,,"Complete guide to renewing your Italian permesso di soggiorno as an American — when to start, what documents you need, how the ricevuta protects you, and what to...",164,
OK,/residency/permesso-di-soggiorno/,residency/permesso-di-soggiorno/index.html,Permesso di Soggiorno: Step-by-Step Guide (2025) — Italopedia,61,,The Italian residence permit — the document that turns your long-stay visa into legal Italian residency. Every step of the process: kit postale at the post...,158,
OK,/residency/permesso-lungo-periodo-permanent-residency-italy/,residency/permesso-lungo-periodo-permanent-residency-italy/index.html,Permesso di Lungo Periodo (2025) — Italopedia,45,,"After 5 years of legal residence in Italy, Americans can apply for the EU long-term permit (permesso di lungo periodo). Requirements: A2 Italian, sufficient...",159,
OK,/residency/register-foreign-car-italy/,residency/register-foreign-car-italy/index.html,Registering a Foreign Car in Italy (2025) — Italopedia,54,,"Complete guide to importing and registering a U.S. or foreign car in Italy — the process, costs, homologation requirements, and whether it's actually worth it.",159,
OK,/residency/spid-italy-foreigners-americans-guide/,residency/spid-italy-foreigners-americans-guide/index.html,SPID for Foreigners in Italy (2025) — Italopedia,48,,"SPID is required to access Italian government websites — Agenzia delle Entrate, INPS, your municipality, and healthcare portals. How Americans get SPID, which...",161,
OK,/residency/tessera-sanitaria-expats/,residency/tessera-sanitaria-expats/index.html,Tessera Sanitaria in Italy (2025) — Italopedia,46,,"Complete guide to the Italian Tessera Sanitaria (health card) for American expats — what it is, who can get one, how to apply, what to do if it expires, and how...",163,
OK,/resources/,resources/index.html,"Free Resources — Tools, Links, Templates — Italopedia",53,,"Curated official Italian government links, calculators, document templates and tools for Americans planning their Italy move. All free, all verified.",149,
OK,/taxes/,taxes/index.html,Italy Taxes for Americans — Italopedia,38,,"IRPEF brackets, the €100,000 flat tax for new residents, the southern 7% pension regime, the US-Italy treaty, FBAR, FATCA, and how to file in two countries...",158,
OK,/taxes/fbar-fatca-americans-italy-guide/,taxes/fbar-fatca-americans-italy-guide/index.html,FBAR and FATCA for Americans Living in Italy (2025) — Italopedia,64,,"Americans in Italy must file FBAR and potentially FATCA Form 8938 every year. Here is exactly what each requires, the thresholds, the penalties, and how to come...",163,
OK,/taxes/flat-tax-regime/,taxes/flat-tax-regime/index.html,"Italy's €100,000 Flat Tax Regime (2025) — Italopedia",52,,"Italy lets new residents pay a flat €100,000 on all foreign-source income, every year, for up to 15 years. For Americans with substantial portfolios, it can be...",162,
OK,/taxes/irpef-tax-brackets-italy-2025-americans/,taxes/irpef-tax-brackets-italy-2025-americans/index.html,IRPEF Tax Brackets in Italy (2025) — Italopedia,47,,"Complete guide to Italy's IRPEF income tax brackets for American expats — current rates, how taxable income is calculated, deductions, regional taxes, and what...",162,
OK,/taxes/partita-iva-italy-foreigners/,taxes/partita-iva-italy-foreigners/index.html,Partita IVA Italy for Americans (2025) — Italopedia,51,,"Complete guide to opening a Partita IVA in Italy as an American expat — eligibility, tax regimes (Forfettario vs. Ordinario), the registration process, and what...",163,
OK,/taxes/southern-italy-7-percent-flat-tax-foreign-pensioners/,taxes/southern-italy-7-percent-flat-tax-foreign-pensioners/index.html,Southern Italy's 7% Flat Tax: Pensioner Guide (2025) — Italopedia,65,,"American retirees moving to qualifying southern Italian towns can pay a flat 7% tax on all foreign income for 10 years. Here is who qualifies, how it works, and...",163,
OK,/taxes/us-italy-tax-treaty-double-taxation/,taxes/us-italy-tax-treaty-double-taxation/index.html,US-Italy Tax Treaty (2025) — Italopedia,39,,"Plain-English guide to the US-Italy Double Taxation Treaty — what income it covers, how to avoid being taxed twice, and the key rules every American living in...",161,
OK,/visas/,visas/index.html,Italy Visas for Americans — Complete Reference — Italopedia,59,,Every visa pathway for Americans planning to live in Italy — from the elective residence visa for retirees to the digital nomad visa for remote workers. Thirty...,162,
OK,/visas/apostille-document-translation-italian-visa/,visas/apostille-document-translation-italian-visa/index.html,Apostille for Italian Visas: Document Guide (2025) — Italopedia,63,,"What an apostille is, which US documents need one for Italy, how to get it from each state's Secretary of State, certified vs sworn translation, and common...",158,
OK,/visas/digital-nomad-visa/,visas/digital-nomad-visa/index.html,Italy Digital Nomad Visa (2025) — Italopedia,44,,"Italy's long-awaited Digital Nomad Visa finally went live in April 2024. For the first time, Americans with remote-work or freelance income can live legally in...",162,
OK,/visas/elective-residence-visa/,visas/elective-residence-visa/index.html,Elective Residence Visa Italy (2025) — Italopedia,49,,"Italy's most popular long-stay visa for American retirees and passive-income earners — the requirements, the documents, the consulate process, and what happens...",162,
OK,/visas/etias-americans-italy-schengen-guide/,visas/etias-americans-italy-schengen-guide/index.html,ETIAS for Americans Visiting Italy (2025) — Italopedia,54,,"Complete guide to ETIAS — the EU travel authorization system for Americans visiting Italy and the Schengen Area. When it launches, how to apply, costs, and how...",162,
OK,/visas/fbi-background-check-italian-visa-americans/,visas/fbi-background-check-italian-visa-americans/index.html,FBI Background Check for Italian Visa (2025) — Italopedia,57,,"Step-by-step guide to getting an FBI background check for your Italian visa application — direct FBI vs. channeler services, apostille process, timeline, costs,...",163,
OK,/visas/italy-investor-visa-golden-visa-americans/,visas/italy-investor-visa-golden-visa-americans/index.html,Italy Investor Visa (Golden Visa) (2025) — Italopedia,53,,"Italy's Investor Visa grants a 2-year renewable permit to Americans who invest €250k–€2M in Italian companies, startups, bonds, or philanthropy. Nulla Osta in 30...",164,
OK,/visas/italy-spouse-visa-americans/,visas/italy-spouse-visa-americans/index.html,Italy Spouse Visa for Americans (2025) — Italopedia,51,,"Step-by-step guide for Americans married to Italian citizens — the family reunification visa process, required documents, timeline, and life after arrival in...",160,
OK,/visas/italy-student-visa/,visas/italy-student-visa/index.html,Italy Student Visa for Americans (2025) — Italopedia,52,,"Complete guide to the Italian student visa for Americans — university enrollment, language schools, required documents, the application process, and what you can...",164,
OK,/visas/italy-visa-income-requirements-2025-all-types/,visas/italy-visa-income-requirements-2025-all-types/index.html,Italy Visa Income Requirements 2025: All Visa Types — Italopedia,64,,"Exact income thresholds for every Italian long-stay visa in 2025: Elective Residence (€31k), Digital Nomad (€28k), Student (€6.5k). What counts as proof,...",156,
